stime,etime,mlat,mlon,mlt
2013-01-03 16:00:01,2013-01-03 16:59:43,58.5741,-116.367,3.94101
2013-01-17 21:30:27,2013-01-17 22:30:09,65.3057,21.7425,18.186
2013-01-17 21:30:27,2013-01-17 22:30:09,65.1618,23.5914,18.3093
2013-01-18 12:00:03,2013-01-18 12:59:45,48.4476,-143.925,22.1708
2013-01-18 12:00:03,2013-01-18 12:59:45,48.8634,-143.9,22.1725
2013-01-18 14:00:03,2013-01-18 14:59:45,70.7777,-146.839,0.00817731
2013-01-18 12:00:03,2013-01-18 12:59:45,48.3684,-143.077,22.2274
2013-01-18 12:00:03,2013-01-18 12:59:45,48.7797,-143.014,22.2316
2013-01-18 14:00:03,2013-01-18 14:59:45,69.6901,-141.737,0.348321
2013-01-18 14:00:03,2013-01-18 14:59:45,70.1067,-141.758,0.346894
2013-01-18 04:02:00,2013-01-18 05:01:42,61.1405,-33.2023,21.3302
2013-01-18 05:02:00,2013-01-18 06:01:42,61.5193,-33.3255,22.3946
2013-01-18 05:02:00,2013-01-18 06:01:42,61.8972,-33.4501,22.3863
2013-01-18 05:02:00,2013-01-18 06:01:42,62.2743,-33.5764,22.3779
2013-01-18 04:02:00,2013-01-18 05:01:42,61.2653,-31.5701,21.4391
2013-01-18 05:02:00,2013-01-18 06:01:42,62.0323,-31.6807,22.5043
2013-01-18 05:02:00,2013-01-18 06:01:42,62.4146,-31.7358,22.5006
2013-01-18 04:02:00,2013-01-18 05:01:42,61.3395,-28.2675,21.6592
2013-01-18 04:02:00,2013-01-18 05:01:42,61.7262,-28.1847,21.6647
2013-01-18 04:02:00,2013-01-18 05:01:42,62.1119,-28.0981,21.6705
2013-01-18 04:02:00,2013-01-18 05:01:42,60.9443,-27.937,21.6813
2013-01-18 04:02:00,2013-01-18 05:01:42,60.8806,-26.3641,21.7861
2013-01-18 04:02:00,2013-01-18 05:01:42,62.0171,-25.6311,21.835
2013-01-18 05:02:00,2013-01-18 06:01:42,60.9508,-22.9481,23.0865
2013-01-18 04:02:00,2013-01-18 05:01:42,61.3114,-22.5767,22.0386
2013-01-18 05:02:00,2013-01-18 06:01:42,61.3114,-22.5767,23.1112
2013-01-18 04:02:00,2013-01-18 05:01:42,61.6702,-22.1991,22.0638
2013-01-18 05:02:00,2013-01-18 06:01:42,61.6701,-22.1991,23.1364
2013-01-18 04:02:00,2013-01-18 05:01:42,62.0272,-21.8151,22.0894
2013-01-18 03:02:00,2013-01-18 04:01:42,66.1801,-16.595,21.3693
2013-01-18 03:02:00,2013-01-18 04:01:42,66.515,-16.0987,21.4024
2013-01-25 11:00:03,2013-01-25 11:59:45,67.6984,-7.87491,6.11322
2013-01-25 11:00:03,2013-01-25 11:59:45,68.0893,-7.94647,6.10845
2013-01-25 09:00:03,2013-01-25 09:59:45,65.6434,-40.3895,1.91219
2013-01-25 11:00:03,2013-01-25 11:59:45,66.0226,-40.2207,3.95684
2013-01-27 11:02:00,2013-01-27 12:01:42,55.084,-120.033,22.655
2013-01-27 07:02:00,2013-01-27 08:01:42,54.0616,-107.344,19.5138
2013-01-27 07:02:00,2013-01-27 08:01:42,54.4461,-106.968,19.5389
2013-01-27 07:02:00,2013-01-27 08:01:42,55.2006,-106.212,19.5893
2013-01-27 07:02:00,2013-01-27 08:01:42,55.572,-105.831,19.6147
2013-01-27 07:02:00,2013-01-27 08:01:42,55.9403,-105.446,19.6403
2013-01-27 07:02:00,2013-01-27 08:01:42,53.8354,-106.852,19.5466
2013-01-27 07:02:00,2013-01-27 08:01:42,54.205,-106.447,19.5737
2013-01-27 07:02:00,2013-01-27 08:01:42,54.5694,-106.041,19.6007
2013-01-27 07:02:00,2013-01-27 08:01:42,54.9293,-105.633,19.6279
2013-01-27 07:02:00,2013-01-27 08:01:42,55.2853,-105.222,19.6553
2013-01-27 07:02:00,2013-01-27 08:01:42,54.2894,-105.522,19.6353
2013-01-27 07:02:00,2013-01-27 08:01:42,54.6331,-105.087,19.6643
2013-01-27 08:02:00,2013-01-27 09:01:42,54.6331,-105.087,20.6535
2013-01-27 07:02:00,2013-01-27 08:01:42,54.9727,-104.649,19.6935
2013-01-27 07:02:00,2013-01-27 08:01:42,55.3087,-104.208,19.7229
2013-01-27 07:02:00,2013-01-27 08:01:42,55.6415,-103.762,19.7526
2013-01-27 07:02:00,2013-01-27 08:01:42,55.9712,-103.312,19.7826
2013-01-27 07:02:00,2013-01-27 08:01:42,56.2983,-102.857,19.813
2013-02-02 17:00:02,2013-02-02 17:59:44,80.5466,-4.98589,12.0992
2013-02-02 17:00:02,2013-02-02 17:59:44,80.7811,-10.0731,11.7601
2013-02-02 17:00:02,2013-02-02 17:59:44,80.8458,-12.0902,11.6256
2013-02-02 17:00:02,2013-02-02 17:59:44,80.8953,-14.0306,11.4962
